curve	part	source_handles	x	y
homSF	1	62,63,64,67,66	-53.440142497005795	0.57313301262519012
homSF	1	62,63,64,67,66	-53.440065863604467	0.5731249704619068
homSF	1	62,63,64,67,66	-53.439842882409287	0.57310157082071234
homSF	1	62,63,64,67,66	-53.439780658870504	0.57309504109522957
homSF	1	62,63,64,67,66	-53.439681675918507	0.57308465384283502
homSF	1	62,63,64,67,66	-53.439565818259773	0.57307249579119801
homSF	1	62,63,64,67,66	-53.439291914359011	0.57304375250381556
homSF	1	62,63,64,67,66	-53.439138513210153	0.57302765463665806
homSF	1	62,63,64,67,66	-53.439062085695589	0.57301963441733916
homSF	1	62,63,64,67,66	-53.438636521061497	0.57297497626726013
homSF	1	62,63,64,67,66	-53.438700903481106	0.57298173234555172
homSF	1	62,63,64,67,66	-53.438533058069133	0.57296411893478982
homSF	1	62,63,64,67,66	-53.438018047400519	0.57291007481656808
homSF	1	62,63,64,67,66	-53.438176894060568	0.57292674367270779
homSF	1	62,63,64,67,66	-53.437950780517433	0.57290301586127057
homSF	1	62,63,64,67,66	-53.437742936466996	0.57288120526328368
homSF	1	62,63,64,67,66	-53.437507448269848	0.57285649364086699
homSF	1	62,63,64,67,66	-53.437247936199448	0.57282926129248901
homSF	1	62,63,64,67,66	-53.436954596306151	0.57279847926506866
homSF	1	62,63,64,67,66	-53.437025614934363	0.5728059314744639
homSF	1	62,63,64,67,66	-53.436537760145171	0.57275473795371201
homSF	1	62,63,64,67,66	-53.436555685817304	0.57275661899638874
homSF	1	62,63,64,67,66	-53.436454082447327	0.5727459569751232
homSF	1	62,63,64,67,66	-53.436010404811	0.57269939953421611
homSF	1	62,63,64,67,66	-53.436034366512338	0.57270191395594217
homSF	1	62,63,64,67,66	-53.435943235638653	0.57269235102394567
homSF	1	62,63,64,67,66	-53.435642075020155	0.57266074881413931
homSF	1	62,63,64,67,66	-53.435623273323976	0.57265877586689595
homSF	1	62,63,64,67,66	-53.435442486191619	0.57263980520324598
homSF	1	62,63,64,67,66	-53.435139236477312	0.57260798396631452
homSF	1	62,63,64,67,66	-53.435088587729162	0.57260266919662961
homSF	1	62,63,64,67,66	-53.43467004379967	0.57255874982637556
homSF	1	62,63,64,67,66	-53.434656505812235	0.57255732924047942
homSF	1	62,63,64,67,66	-53.434489167452327	0.57253976989099031
homSF	1	62,63,64,67,66	-53.434167743692186	0.57250604177173003
homSF	1	62,63,64,67,66	-53.434396053713854	0.57252999898917434
homSF	1	62,63,64,67,66	-53.434119183904109	0.57250094626406578
homSF	1	62,63,64,67,66	-53.434164487343374	0.5725057009652913
homSF	1	62,63,64,67,66	-53.433688774491436	0.57245578328071678
homSF	1	62,63,64,67,66	-53.43369087709992	0.57245600391179796
homSF	1	62,63,64,67,66	-53.433623242254505	0.57244890692937989
homSF	1	62,63,64,67,66	-53.43321954046251	0.5724065457939177
homSF	1	62,63,64,67,66	-53.433345962120541	0.57241981141763076
homSF	1	62,63,64,67,66	-53.433142276433657	0.57239843856510975
homSF	1	62,63,64,67,66	-53.433038722989352	0.57238757256414019
homSF	1	62,63,64,67,66	-53.432762085755428	0.57235854471657088
homSF	1	62,63,64,67,66	-53.432602944062069	0.57234184593190296
homSF	1	62,63,64,67,66	-53.432348941681425	0.57231519331999892
homSF	1	62,63,64,67,66	-53.43230302453405	0.57231037521669481
homSF	1	62,63,64,67,66	-53.432034522393018	0.57228220131313856
homSF	1	62,63,64,67,66	-53.431807437363304	0.57225837331257734
homSF	1	62,63,64,67,66	-53.43158368702543	0.57223489528425797
homSF	1	62,63,64,67,66	-53.431570734678274	0.5722335362899299
homSF	1	62,63,64,67,66	-53.431197591145512	0.57219438264313638
homSF	1	62,63,64,67,66	-53.431221479390864	0.57219688921198641
homSF	1	62,63,64,67,66	-53.431100920103297	0.57218423901170534
homSF	1	62,63,64,67,66	-53.430983899542582	0.57217196019000538
homSF	1	62,63,64,67,66	-53.430745960921463	0.57214699363993793
