time_since_ttr1e6_seconds	lambda1_bits_per_second	lz76_bits_per_second	n_symbols	alphabet_size	lz76_phrase_count	mean_event_interval_seconds
6020	0.313889535843	0.346085489288	634	24	224	9.50271190251
6030	0.314277513746	0.345788325806	635	24	224	9.49822014669
6040	0.314110650798	0.346548748756	637	24	225	9.4944231351
6050	0.3139557007	0.346154370343	638	24	225	9.4926473789
6060	0.313200514714	0.346154370343	638	24	225	9.4926473789
6070	0.312563587581	0.345037371496	640	24	225	9.4982185021
6080	0.312665656072	0.344768350469	641	24	225	9.49309379513
6090	0.312996482112	0.344454690769	642	24	225	9.48922616735
6100	0.313137700855	0.345318956239	644	24	226	9.48257907363
6110	0.313149409802	0.344986419698	645	24	226	9.47927711921
6120	0.31343134373	0.345844095491	647	24	227	9.47278096875
6130	0.313737863111	0.345844095491	647	24	227	9.47278096875
6140	0.312652312521	0.345128441521	648	24	227	9.48003634921
6150	0.312628382463	0.344403016971	650	24	227	9.47528182692
6160	0.312502602436	0.344048627644	651	24	227	9.4727197128
6170	0.312246230857	0.345176762109	652	24	228	9.47105223997
6180	0.311721971367	0.345176762109	652	24	228	9.47105223997
6190	0.311712856404	0.344099770471	654	24	228	9.47611816622
6200	0.311413348869	0.343798090352	655	24	228	9.47218513329
6210	0.31135539586	0.344647080455	657	24	229	9.46585259727
6220	0.311347574924	0.344291519056	658	24	229	9.46344565282
6230	0.310626024092	0.34396730977	659	24	229	9.46020501414
6240	0.311371697502	0.343542940427	660	24	229	9.45974898032
6250	0.310907362284	0.342931185418	661	24	229	9.4644940558
6260	0.3109686876	0.342516223209	662	24	229	9.46384888372
6270	0.310635125029	0.343629503751	663	24	230	9.46228941414
6280	0.311719846436	0.343240584083	664	24	230	9.46093867353
6290	0.31058701631	0.342554550949	665	24	230	9.46782268217
6300	0.311001986374	0.343688569935	666	24	231	9.46556882185
6310	0.310893102409	0.343040014849	668	24	231	9.45943175624
6320	0.311219996708	0.34273071443	669	24	231	9.4559903191
6330	0.311172757919	0.343879191319	670	24	232	9.4532504923
6340	0.311370101237	0.343504114384	671	24	232	9.45163469857
6350	0.310315360545	0.342805670995	672	24	232	9.45896188794
6360	0.309939921953	0.34244986934	673	24	232	9.45687964656
6370	0.310911006294	0.342149917785	674	24	232	9.45328190895
6380	0.310127653644	0.341478386364	675	24	232	9.45999262641
6390	0.310227551528	0.342494623242	676	24	233	9.46071479031
6400	0.310946734694	0.342218586205	677	24	233	9.45650487984
6410	0.310339334465	0.341604233931	678	25	233	9.46168127845
6420	0.311046928462	0.342781099856	679	25	234	9.45785651292
6430	0.310528305014	0.342114659498	681	25	234	9.45271175853
6440	0.310517433475	0.341745210463	682	25	234	9.45118088215
6450	0.309882929358	0.341745210463	682	25	234	9.45118088215
6460	0.309814579306	0.340684336181	684	25	234	9.45713251483
6470	0.309076640513	0.341794582648	685	25	235	9.45499236841
6480	0.309609149766	0.341387019394	686	25	235	9.45459277748
6490	0.309740123368	0.340934615319	687	25	235	9.45546667089
6500	0.309850968653	0.342036638702	688	25	236	9.45345515788
6510	0.310611825879	0.341735487541	689	25	236	9.45015355159
6520	0.310409589932	0.341118202647	690	25	236	9.45563178421
6530	0.309751813523	0.341901746946	691	25	237	9.46232197804
6540	0.310020322029	0.341461700798	692	25	237	9.46291728136
6550	0.30963841566	0.342556400948	693	25	238	9.46089701924
6560	0.310361821405	0.342059331904	694	25	238	9.46307871123
6570	0.310410995588	0.343196784659	695	25	239	9.4597980518
6580	0.310871181206	0.342850628054	696	25	239	9.45782127689
6590	0.310800367764	0.342284357157	697	25	239	9.46195146431
6600	0.31129870938	0.343297450679	698	25	240	9.4620008364
6610	0.310757937381	0.342940896897	699	25	240	9.46035574026
6620	0.311025819023	0.343745730386	701	25	241	9.45461401302
6630	0.311144533687	0.343401925763	702	25	241	9.45265412402
6640	0.312425004212	0.343115272312	703	25	241	9.44914575503
6650	0.312052673391	0.342620203454	704	25	241	9.45140681612
6660	0.311913455625	0.343507979524	706	25	242	9.44336421328
6670	0.311878457226	0.343164835319	707	25	242	9.44147353676
6680	0.312215382357	0.34401561334	709	25	243	9.43442501658
6690	0.312125545177	0.343635613202	710	25	243	9.43358042226
6700	0.312460729769	0.343635613202	710	25	243	9.43358042226
6710	0.312626329783	0.344205974753	712	25	244	9.43418227546
6720	0.31258286591	0.343863814574	713	25	244	9.43234001107
6730	0.312998866864	0.345005293861	714	25	245	9.42845177959
6740	0.312611129114	0.3443438066	716	25	245	9.42418700259
6750	0.312018921816	0.344000595361	717	25	245	9.42243261021
6760	0.312662627682	0.345071116564	718	25	246	9.42040138339
6770	0.312974365718	0.344712397277	719	25	246	9.41908179995
6780	0.312891180073	0.345414174538	721	25	247	9.41595009521
6790	0.312805328315	0.345086362268	722	25	247	9.41382314136
6800	0.31237839	0.344779703339	723	25	247	9.41114261684
6810	0.312602226279	0.344423795404	724	25	247	9.40983046321
6820	0.311955952661	0.343778825378	725	25	247	9.4164544034
6830	0.312010557764	0.34338596243	726	25	247	9.41621269283
6840	0.312512199606	0.342861565439	727	25	247	9.4196103703
6850	0.312342924882	0.34397225123	728	25	248	9.41622192394
6860	0.312410517734	0.343643049282	729	25	248	9.4142739173
6870	0.312637581263	0.343383878587	730	25	248	9.4104299711
6880	0.313144070579	0.342836306362	731	25	248	9.41452056886
