delta_x	delta_ca	gamma_encoding	gamma_scs	status
-1.081162	-38.236473	1139135310028166600	13,0,2,-13	ok
-1.079158	-38.236473	316827882401937727	13,0,2,-12	ok
-1.077154	-38.236473	3315707435	13,0,2,-3,0	ok
-1.075150	-38.236473	431960	-13,0,2,1	ok
-1.073146	-38.236473	986285	-13,0,2,-1,0	ok
-1.071142	-38.236473	19478	-13,0,2,0	ok
-1.069138	-38.236473	19478	-13,0,2,0	ok
-1.067134	-38.236473	158286503	-13,0,-2,0,1	ok
-1.065130	-38.236473	158286503	-13,0,-2,0,1	ok
-1.063126	-38.236473	158286503	-13,0,-2,0,1	ok
-1.061122	-38.236473	158286503	-13,0,-2,0,1	ok
-1.059118	-38.236473	158286503	-13,0,-2,0,1	ok
-1.057114	-38.236473	56111662478	-13,0,-2,0,-2	ok
-1.055110	-38.236473	56111662478	-13,0,-2,0,-2	ok
-1.053106	-38.236473	158286503	-13,0,-2,0,1	ok
-1.051102	-38.236473	56111662478	-13,0,-2,0,-2	ok
-1.049098	-38.236473	299351353829499128	-13,0,-2,0,3	ok
-1.047094	-38.236473	19478	-13,0,2,0	ok
