delta_x	delta_ca	T_category_id	T_encoding	gamma_category_id	gamma_encoding	T_scs	gamma_scs	status
-0.973684	-23.421053	74	18771403874319079111379122357950	100	18771403874319177146876691612886	-1,-9,-9,-9,-9	-9,-9,-9,-9,-9	ok
-0.973684	-22.736842	64	3219630870954874081466514659729	50	2537570046700137	-1,8,8,8,8	8,8,8,8	ok
-0.973684	-22.052632	64	3219630870954874081466514659729	50	2537570046700137	-1,8,8,8,8	8,8,8,8	ok
-0.973684	-21.368421	64	3219630870954874081466514659729	50	2537570046700137	-1,8,8,8,8	8,8,8,8	ok
-0.973684	-20.684211	64	3219630870954874081466514659729	50	2537570046700137	-1,8,8,8,8	8,8,8,8	ok
-0.973684	-20.000000	64	3219630870954874081466514659729	99	3219630870954912145017215161919	-1,8,8,8,8	8,8,8,8,8	ok
-0.921053	-33.000000	106	9455884669399191660884342385366419	92	137520068858324757	-1,-11,-11,-11,-11	-11,-11,-11,-11	ok
-0.921053	-32.315789	106	9455884669399191660884342385366419	92	137520068858324757	-1,-11,-11,-11,-11	-11,-11,-11,-11	ok
-0.921053	-31.631579	27	66720918967500902	85	66720925908142496	-1,10,10,10	10,10,10,10	ok
-0.921053	-30.947368	98	2225840977019920444092511290911250	85	66720925908142496	-1,10,10,10,10	10,10,10,10	ok
-0.921053	-30.263158	98	2225840977019920444092511290911250	85	66720925908142496	-1,10,10,10,10	10,10,10,10	ok
-0.921053	-29.578947	92	489473977720914081937327972658195	77	31288144007624166	-1,-10,-10,-10,-10	-10,-10,-10,-10	ok
-0.921053	-28.894737	92	489473977720914081937327972658195	77	31288144007624166	-1,-10,-10,-10,-10	-10,-10,-10,-10	ok
-0.921053	-28.210526	92	489473977720914081937327972658195	77	31288144007624166	-1,-10,-10,-10,-10	-10,-10,-10,-10	ok
-0.921053	-27.526316	82	99887480609913080653142721402689	68	14134177061995017	-1,9,9,9,9	9,9,9,9	ok
-0.921053	-26.842105	82	99887480609913080653142721402689	68	14134177061995017	-1,9,9,9,9	9,9,9,9	ok
-0.921053	-26.157895	82	99887480609913080653142721402689	68	14134177061995017	-1,9,9,9,9	9,9,9,9	ok
-0.921053	-25.473684	81	99887478233506301306294826391710	68	14134177061995017	-1,-9,9,9,9	9,9,9,9	ok
-0.921053	-24.789474	74	18771403874319079111379122357950	56	6127218598078424	-1,-9,-9,-9,-9	-9,-9,-9,-9	ok
-0.921053	-24.105263	74	18771403874319079111379122357950	100	18771403874319177146876691612886	-1,-9,-9,-9,-9	-9,-9,-9,-9,-9	ok
-0.921053	-23.421053	74	18771403874319079111379122357950	100	18771403874319177146876691612886	-1,-9,-9,-9,-9	-9,-9,-9,-9,-9	ok
-0.921053	-22.736842	64	3219630870954874081466514659729	50	2537570046700137	-1,8,8,8,8	8,8,8,8	ok
