category_id	count	encoding	T_scs	gamma_scs
5540	1	8346896943840764009892736833841921574856573806352417963725810563	-1,0,-1,0,-10	10,-1,0,0,9
5541	1	8352956263354340058834511932920963470396191294194398237853858089	-1,0,9,9,-9	10,1,1,0,-10
5542	1	9634117643905851959155403613747920418045900231059709413374400265	-1,0,1,3,1,-3	11,-1,0,-2,0
5543	1	9650265756484285032203169220663665900156768802627059665357495970	-1,0,0,1,9,0	-11,0,0,1,0
5544	1	9650265756484285032203169235687995254214077556257529986739016617	-1,0,0,1,9,0	11,1,0,1,0
5545	1	9650265756484285036677801223944516762505174656502983351393215455	-1,0,0,1,9,0	10,1,1,-3,-2
5546	1	9650266231218476052828022933166119395908591838911234988861536842	-1,0,0,1,9,0	10,-1,0,4,5
5547	1	9674534661926321981655246363558895448545445160832733203440867736	1,-3,2,-2,-10	10,9,-10,1
5548	1	9690742877969882911042618506511618097981958771867929341487155172	-1,-1,3,-2,-10	10,10,10,-10
5549	1	9796730845379248926500291640006407012081405253515208393841825195	-1,2,-10,-2,-10	10,-10,2,5
5550	1	9804927660394101355453853978528743490998554204070849692144786851	-1,1,10,-2,-10	10,-10,1,-10
5551	1	11361794193224388773077013750339930269589838290885731963578288975	-1,0,1,2,-10	11,0,6,0
5552	1	11371215249111774568783191296277386688277564766068627157121029650	-1,-2,-2,2,-10	-11,-10,-3,-2
5553	1	11371215249111775629453815244470566062742617693143588246412063588	-1,-2,-2,2,-10	10,10,10,-9
5554	1	11380642162700790540639088999279625852399765315399306310204758718	-1,-1,1,1,-9,-1	9,-9,-1,1
5555	1	11380642162700791423035738216639653811653067601460191336984064993	-1,-1,1,1,-9,-1	9,8,8,-9
5556	1	11418422153317872853465613875085244078217611799872468939085425557	-1,-1,4,2,-10	10,10,10,2
5557	1	11484822917984063323717540867659113775253969457647981105139809236	-1,-2,-8,2,-10	10,10,10,7
5558	1	11513390142402091620945781978497378828658031020219684577056313914	1,1,9,2,-10	10,-10,0,10
5559	1	11513392116194980596854810543312716047819243020194837039831164379	1,3,9,2,-10	10,9,10,2
5560	1	11522926521926286870027121315433884839400311138225742324547577367	-1,0,-10,2,-10	10,-1,0,9
5561	1	11522931953791148323896167135827130117927502230337428763699620527	-1,-6,-10,2,-10	10,9,10,-9
5562	1	11522934422821377569964955678107483550847440602464172014785261595	1,8,-10,2,-10	10,9,9,-10
5563	1	11532471294719189735724070742074379945298892632157629951867005275	1,0,10,2,-10	-11,-3,0,4
5564	1	11532472283046585192207967321911319029801051767046956894829147290	-1,1,10,2,-10	10,10,-3,-2
5565	1	11532476236356921370422294976405626072985061611754816228289305785	1,5,10,2,-10	10,9,-10,-2
5566	1	13376759783078181299537566629972667132009776149071224659344292700	1,1,2,-3,-10	10,-2,-1,-1,-3
5567	1	15659398414462110933142437782410452857748622228089644676922684483	1,0,10,2,0	-11,-1,0,3,-10
5568	1	15684856964187200618818943637727342936934118913280767881846014463	-1,0,1,3,-10	11,-2,-1,0,-2
5569	1	15684858904427450812295913158200378541456624215785155460265578121	1,-2,1,3,-10	10,2,-10,1
