delta_x	delta_ca	T0_V	T0_Ca	T0_method	T_category_id	T_encoding	T_scs	status
-1.121242	-39.989980	-45.242914	0.805613	continued:5	295	3374966975014	1,0,0,0,0,0,0	ok
-1.119238	-39.989980	-45.672917	0.803695	continued:5	294	3374964376952	-1,0,0,0,0,0,0	ok
-1.117234	-39.989980	-46.080474	0.801904	continued:5	295	3374966975014	1,0,0,0,0,0,0	ok
-1.115230	-39.989980	-46.466492	0.800862	continued:5	294	3374964376952	-1,0,0,0,0,0,0	ok
-1.113226	-39.989980	-46.824777	0.800154	continued:5	294	3374964376952	-1,0,0,0,0,0,0	ok
-1.111222	-39.989980	-47.153744	0.802819	full	2504	115456487310412649100170870	-1,0,0,1,0,2	ok
-1.109218	-39.989980	-45.271834	0.804378	continued:5	294	3374964376952	-1,0,0,0,0,0,0	ok
-1.107214	-39.989980	-45.700453	0.802253	continued:5	294	3374964376952	-1,0,0,0,0,0,0	ok
-1.105210	-39.989980	-46.108500	0.800669	continued:5	294	3374964376952	-1,0,0,0,0,0,0	ok
-1.103206	-39.989980	-46.492343	0.799420	continued:5	294	3374964376952	-1,0,0,0,0,0,0	ok
-1.101202	-39.989980	-46.850225	0.798712	continued:5	294	3374964376952	-1,0,0,0,0,0,0	ok
-1.099198	-39.989980	-47.178338	0.801378	full	3643	680948589112582059466356440868394514	-1,0,0,-2,-12,-1	ok
-1.097194	-39.989980	-45.298752	0.802931	continued:5	294	3374964376952	-1,0,0,0,0,0,0	ok
-1.095190	-39.989980	-45.728442	0.800806	continued:5	294	3374964376952	-1,0,0,0,0,0,0	ok
-1.093186	-39.989980	-46.136935	0.799223	continued:5	1624	10296487298246453339	-1,0,0,0,0,0,-1	ok
-1.091182	-39.989980	-46.520650	0.797974	continued:5	294	3374964376952	-1,0,0,0,0,0,0	ok
-1.089178	-39.989980	-46.877894	0.797472	continued:5	2701	498768035658203820272194170320	-1,0,0,0,0,0,1	ok
-1.087174	-39.989980	-47.202984	0.799931	full	3300	185030600244891213088327067183475014	-1,0,0,2,12	ok
-1.085170	-39.989980	-45.325524	0.801479	continued:5	2566	878890027930190311617606920	-1,0,0,0,0,-2,0	ok
-1.083166	-39.989980	-45.756304	0.799355	continued:5	294	3374964376952	-1,0,0,0,0,0,0	ok
